Order=(0, 1, 1), Seed=30, Evidence=6315.349631514721, Error=0.3657909710989095, V=1.0, MaxLogL=6347.9521484375, BIC=-12673.752328501065, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-342.8169861277174
Order=(0, 1, 2), Seed=30, Evidence=6372.408911905178, Error=0.4507859854660897, V=1.0, MaxLogL=6409.59765625, BIC=-12789.659354668085, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-285.75770573726095
Order=(0, 1, 3), Seed=30, Evidence=6422.663984025501, Error=0.4092286699848225, V=1.0, MaxLogL=6462.69091796875, BIC=-12888.461888647607, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-235.5026336169376
Order=(0, 1, 4), Seed=30, Evidence=6447.702559001072, Error=0.4817844821299238, V=1.0, MaxLogL=6490.62744140625, BIC=-12936.95094606463, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-210.46405864136705
Order=(0, 1, 5), Seed=30, Evidence=6466.623969426794, Error=0.43008681095244267, V=1.0, MaxLogL=6512.5791015625, BIC=-12973.47027691915, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-191.54264821564448
Order=(0, 1, 6), Seed=30, Evidence=6477.12700788402, Error=0.48451020051001975, V=1.0, MaxLogL=6526.443359375, BIC=-12993.814803086172, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-181.03960975841892
Order=(0, 1, 7), Seed=30, Evidence=6497.302069805647, Error=0.5386079467579827, V=1.0, MaxLogL=6550.2392578125, BIC=-13034.022610503194, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-160.86454783679164
Order=(1, 1, 0), Seed=30, Evidence=6516.049537442286, Error=0.5124871435697989, V=1.0, MaxLogL=6560.33447265625, BIC=-13091.132987480585, D0Occam=-8.155363036297484, NetPriorVolume=-8.155363036297484, Posterior=-142.1170802001525
Order=(1, 1, 1), Seed=30, Evidence=6658.113225649051, Error=0.5188047062587109, V=1.0, MaxLogL=6708.826171875, BIC=-13380.732396460107, D0Occam=-12.698935586654107, NetPriorVolume=-12.698935586654107, Posterior=-0.05339199338777689
Order=(1, 1, 2), Seed=30, Evidence=6655.163193539933, Error=0.5274836494119748, V=1.0, MaxLogL=6709.6162109375, BIC=-13374.92848512713, D0Occam=-12.585411771146939, NetPriorVolume=-12.585411771146939, Posterior=-3.00342410250596
Order=(1, 1, 3), Seed=30, Evidence=6651.992259910266, Error=0.5926863322527723, V=1.0, MaxLogL=6709.72412109375, BIC=-13367.76031598165, D0Occam=-12.956944944937463, NetPriorVolume=-12.956944944937463, Posterior=-6.174357732173121
Order=(1, 1, 4), Seed=30, Evidence=6645.013088438052, Error=0.5589575906409653, V=1.0, MaxLogL=6710.1357421875, BIC=-13361.199568711172, D0Occam=-12.069644167307672, NetPriorVolume=-12.069644167307672, Posterior=-13.15352920438636
Order=(1, 1, 5), Seed=30, Evidence=6636.669429072731, Error=0.6575952141776694, V=1.0, MaxLogL=6710.154296875, BIC=-13353.852688628194, D0Occam=-12.101135194223398, NetPriorVolume=-12.101135194223398, Posterior=-21.49718856970776
Order=(1, 1, 6), Seed=30, Evidence=6640.8459573455975, Error=0.5945549455685305, V=1.0, MaxLogL=6708.56787109375, BIC=-13343.295847607715, D0Occam=-12.976308395922825, NetPriorVolume=-12.976308395922825, Posterior=-17.320660296841197
Order=(1, 1, 7), Seed=30, Evidence=6639.307071884654, Error=0.6452659054052379, V=1.0, MaxLogL=6710.1123046875, BIC=-13339.000725337237, D0Occam=-12.459163459889515, NetPriorVolume=-12.459163459889515, Posterior=-18.859545757784872
Order=(2, 1, 0), Seed=30, Evidence=6538.210874963564, Error=0.5034349749427132, V=1.0, MaxLogL=6596.466796875, BIC=-13148.62965700213, D0Occam=-10.103334325211987, NetPriorVolume=-10.103334325211987, Posterior=-119.95574267887514
Order=(2, 1, 1), Seed=30, Evidence=6631.529103109588, Error=0.6585416075083809, V=1.0, MaxLogL=6707.6220703125, BIC=-13363.55621441915, D0Occam=-15.689035513686388, NetPriorVolume=-15.689035513686388, Posterior=-26.637514532851128
Order=(2, 1, 2), Seed=30, Evidence=6645.835331194037, Error=0.626831060395583, V=1.0, MaxLogL=6708.08984375, BIC=-13357.107771836172, D0Occam=-17.082168667470906, NetPriorVolume=-17.082168667470906, Posterior=-12.331286448401443
Order=(2, 1, 3), Seed=30, Evidence=6650.007901234204, Error=0.5365421050761636, V=1.0, MaxLogL=6710.4150390625, BIC=-13354.374173003194, D0Occam=-17.387109944512428, NetPriorVolume=-17.387109944512428, Posterior=-8.158716408234795
Order=(2, 1, 4), Seed=30, Evidence=6640.697913741916, Error=0.6088798902725676, V=1.0, MaxLogL=6710.90673828125, BIC=-13347.973581982715, D0Occam=-15.183380016018837, NetPriorVolume=-15.183380016018837, Posterior=-17.468703900522996
Order=(2, 1, 5), Seed=30, Evidence=6632.648124781339, Error=0.6111242510704163, V=1.0, MaxLogL=6709.376953125, BIC=-13337.530022212237, D0Occam=-14.648133097449094, NetPriorVolume=-14.648133097449094, Posterior=-25.51849286109973
Order=(2, 1, 6), Seed=30, Evidence=6617.004818255778, Error=0.6016289533474224, V=1.0, MaxLogL=6708.98974609375, BIC=-13329.371618691757, D0Occam=-15.629424386153268, NetPriorVolume=-15.629424386153268, Posterior=-41.16179938666028
Order=(2, 1, 7), Seed=30, Evidence=6638.130636466582, Error=0.576848108459176, V=1.0, MaxLogL=6709.451171875, BIC=-13322.91048079628, D0Occam=-16.296640193818057, NetPriorVolume=-16.296640193818057, Posterior=-20.03598117585716
Order=(3, 1, 0), Seed=30, Evidence=6511.762811094565, Error=0.889049485638681, V=1.0, MaxLogL=6629.48046875, BIC=-13199.889021836172, D0Occam=-14.715762890022257, NetPriorVolume=-14.715762890022257, Posterior=-146.4038065478735
Order=(3, 1, 1), Seed=30, Evidence=6618.768490779059, Error=0.6152117511190612, V=1.0, MaxLogL=6708.02734375, BIC=-13349.598782378194, D0Occam=-16.81619132776157, NetPriorVolume=-16.81619132776157, Posterior=-39.39812686337973
Order=(3, 1, 2), Seed=30, Evidence=6610.042065239792, Error=0.6875199804075761, V=1.0, MaxLogL=6705.705078125, BIC=-13337.570261670215, D0Occam=-13.660056546929535, NetPriorVolume=-13.660056546929535, Posterior=-48.12455240264717
Order=(3, 1, 3), Seed=30, Evidence=6613.652760759371, Error=0.6311454951914693, V=1.0, MaxLogL=6711.052734375, BIC=-13340.881584712237, D0Occam=-13.311001981125816, NetPriorVolume=-13.311001981125816, Posterior=-44.513856883068
Order=(3, 1, 4), Seed=30, Evidence=6585.511846568317, Error=0.8383417894258068, V=1.0, MaxLogL=6709.0556640625, BIC=-13329.503454629257, D0Occam=-15.520733539518655, NetPriorVolume=-15.520733539518655, Posterior=-72.65477107412153
Order=(3, 1, 5), Seed=30, Evidence=6623.2691750519525, Error=0.6867029032594442, V=1.0, MaxLogL=6710.19140625, BIC=-13324.39094954628, D0Occam=-15.872457712964309, NetPriorVolume=-15.872457712964309, Posterior=-34.89744259048621
Order=(3, 1, 6), Seed=30, Evidence=6583.565206727229, Error=0.8758061629360521, V=1.0, MaxLogL=6708.8779296875, BIC=-13314.380006963302, D0Occam=-16.839474466400425, NetPriorVolume=-16.839474466400425, Posterior=-74.60141091520927
Order=(3, 1, 7), Seed=30, Evidence=6577.293321801548, Error=0.8670298809483904, V=1.0, MaxLogL=6707.2744140625, BIC=-13303.788986255322, D0Occam=-14.857386389859407, NetPriorVolume=-14.857386389859407, Posterior=-80.87329584089093
Order=(4, 1, 0), Seed=30, Evidence=6540.4308892868585, Error=0.7442314941251552, V=1.0, MaxLogL=6646.4892578125, BIC=-13219.138621045215, D0Occam=-14.460783071783444, NetPriorVolume=-14.460783071783444, Posterior=-117.73572835558025
Order=(4, 1, 1), Seed=30, Evidence=6535.618094342476, Error=0.9444602613239814, V=1.0, MaxLogL=6689.3681640625, BIC=-13297.512444087237, D0Occam=-13.829715438444119, NetPriorVolume=-13.829715438444119, Posterior=-122.54852329996265
Order=(4, 1, 2), Seed=30, Evidence=6607.309570709419, Error=0.6889128708416496, V=1.0, MaxLogL=6704.712890625, BIC=-13320.817907754257, D0Occam=-19.044192854554538, NetPriorVolume=-19.044192854554538, Posterior=-50.857046933019774
Order=(4, 1, 3), Seed=30, Evidence=6638.191141161763, Error=0.6349357677446286, V=1.0, MaxLogL=6710.79736328125, BIC=-13325.60286360878, D0Occam=-18.1204893477182, NetPriorVolume=-18.1204893477182, Posterior=-19.975476480675752
Order=(4, 1, 4), Seed=30, Evidence=6550.960553545726, Error=0.9410466058555129, V=1.0, MaxLogL=6705.318359375, BIC=-13307.260866338302, D0Occam=-14.49195833139758, NetPriorVolume=-14.49195833139758, Posterior=-107.20606409671291
Order=(4, 1, 5), Seed=30, Evidence=6616.525246566606, Error=0.6839371891395936, V=1.0, MaxLogL=6710.1357421875, BIC=-13309.511642505322, D0Occam=-20.485362002681203, NetPriorVolume=-20.485362002681203, Posterior=-41.64137107583247
Order=(4, 1, 6), Seed=30, Evidence=6566.721931102755, Error=0.8188904195548038, V=1.0, MaxLogL=6693.599609375, BIC=-13269.055387422344, D0Occam=-17.628340078146966, NetPriorVolume=-17.628340078146966, Posterior=-91.44468653968397
Order=(4, 1, 7), Seed=30, Evidence=6585.46155585487, Error=0.7780094799977693, V=1.0, MaxLogL=6711.7958984375, BIC=-13298.063976089365, D0Occam=-21.395093579531938, NetPriorVolume=-21.395093579531938, Posterior=-72.70506178756841
Order=(5, 1, 0), Seed=30, Evidence=6512.43919372985, Error=0.7183233248145241, V=1.0, MaxLogL=6609.630859375, BIC=-13130.653845254257, D0Occam=-13.67626413896813, NetPriorVolume=-13.67626413896813, Posterior=-145.72742391258907
Order=(5, 1, 1), Seed=30, Evidence=6553.0861569171275, Error=0.772489387908889, V=1.0, MaxLogL=6699.2607421875, BIC=-13302.52962142128, D0Occam=-22.37722629447485, NetPriorVolume=-22.37722629447485, Posterior=-105.08046072531124
Order=(5, 1, 2), Seed=30, Evidence=6545.999769126478, Error=0.8509633675594563, V=1.0, MaxLogL=6674.71484375, BIC=-13246.053835088302, D0Occam=-20.605481272713615, NetPriorVolume=-20.605481272713615, Posterior=-112.16684851596074
Order=(5, 1, 3), Seed=30, Evidence=6607.166638045999, Error=0.6803143293030876, V=1.0, MaxLogL=6711.1015625, BIC=-13311.443283130322, D0Occam=-25.684144582313877, NetPriorVolume=-25.684144582313877, Posterior=-50.999979596439516
Order=(5, 1, 4), Seed=30, Evidence=6601.500782379404, Error=0.6353480881143779, V=1.0, MaxLogL=6709.40185546875, BIC=-13300.659879609844, D0Occam=-21.638188812227266, NetPriorVolume=-21.638188812227266, Posterior=-56.66583526303475
Order=(5, 1, 5), Seed=30, Evidence=6610.401421625987, Error=0.6830007562496274, V=1.0, MaxLogL=6709.9580078125, BIC=-13294.388194839365, D0Occam=-23.74647066722583, NetPriorVolume=-23.74647066722583, Posterior=-47.76519601645214
Order=(5, 1, 6), Seed=30, Evidence=6598.6547111600385, Error=0.7263337124389091, V=1.0, MaxLogL=6708.064453125, BIC=-13283.217096006387, D0Occam=-22.180729884685626, NetPriorVolume=-22.180729884685626, Posterior=-59.51190648240026
Order=(5, 1, 7), Seed=30, Evidence=6600.149199350589, Error=0.8126987031504698, V=1.0, MaxLogL=6715.38525390625, BIC=-13290.474708110909, D0Occam=-31.263109406639018, NetPriorVolume=-31.263109406639018, Posterior=-58.017418291849935
Order=(6, 1, 0), Seed=30, Evidence=6488.505690220294, Error=0.9046357437256147, V=1.0, MaxLogL=6631.197265625, BIC=-13159.018678838302, D0Occam=-18.71853137368824, NetPriorVolume=-18.71853137368824, Posterior=-169.6609274221446
Order=(6, 1, 1), Seed=30, Evidence=6556.799555729981, Error=0.8114511954125525, V=1.0, MaxLogL=6683.1650390625, BIC=-13255.570236255322, D0Occam=-18.91424336570878, NetPriorVolume=-18.91424336570878, Posterior=-101.36706191245776
Order=(6, 1, 2), Seed=30, Evidence=6499.47489050658, Error=1.1581503478766888, V=1.0, MaxLogL=6673.013671875, BIC=-13227.883512422344, D0Occam=-24.226277594659756, NetPriorVolume=-24.226277594659756, Posterior=-158.69172713585886
Order=(6, 1, 3), Seed=30, Evidence=6596.239549407593, Error=0.7513279933995225, V=1.0, MaxLogL=6702.13525390625, BIC=-13278.742687026865, D0Occam=-23.354573358920845, NetPriorVolume=-23.354573358920845, Posterior=-61.92706823484605
Order=(6, 1, 4), Seed=30, Evidence=6591.235257103172, Error=0.7354264577378412, V=1.0, MaxLogL=6703.4228515625, BIC=-13273.933892881387, D0Occam=-27.86185788265534, NetPriorVolume=-27.86185788265534, Posterior=-66.93136053926628
Order=(6, 1, 5), Seed=30, Evidence=6610.50218172416, Error=0.6932314886585698, V=1.0, MaxLogL=6708.9296875, BIC=-13277.563575298409, D0Occam=-21.824191262418722, NetPriorVolume=-21.824191262418722, Posterior=-47.664435918278286
Order=(6, 1, 6), Seed=30, Evidence=6591.645278116346, Error=0.7286680066080191, V=1.0, MaxLogL=6679.02490234375, BIC=-13210.37001552793, D0Occam=-15.727475772221952, NetPriorVolume=-15.727475772221952, Posterior=-66.52133952609256
Order=(6, 1, 7), Seed=30, Evidence=6565.10693180589, Error=0.8656129844770852, V=1.0, MaxLogL=6704.158203125, BIC=-13253.252627632452, D0Occam=-28.188305806665326, NetPriorVolume=-28.188305806665326, Posterior=-93.05968583654885
Order=(7, 1, 0), Seed=30, Evidence=6179.578151215127, Error=0.8968706457984946, V=1.0, MaxLogL=6347.580078125, BIC=-12577.016324922344, D0Occam=-33.36110242014265, NetPriorVolume=-33.36110242014265, Posterior=-478.5884664273117
Order=(7, 1, 1), Seed=30, Evidence=6549.3526551175855, Error=0.8046987801124477, V=1.0, MaxLogL=6669.7822265625, BIC=-13214.036632339365, D0Occam=-27.323184854134997, NetPriorVolume=-27.323184854134997, Posterior=-108.8139625248532
Order=(7, 1, 2), Seed=30, Evidence=6512.7212980732875, Error=0.9482545922753411, V=1.0, MaxLogL=6684.482421875, BIC=-13236.053033506387, D0Occam=-21.015068401837112, NetPriorVolume=-21.015068401837112, Posterior=-145.44531956915125
Order=(7, 1, 3), Seed=30, Evidence=6577.138348102258, Error=0.6509978732557353, V=1.0, MaxLogL=6694.892578125, BIC=-13249.489356548409, D0Occam=-25.11270939342861, NetPriorVolume=-25.11270939342861, Posterior=-81.0282695401811
Order=(7, 1, 4), Seed=30, Evidence=6569.407336026143, Error=0.8337189807107317, V=1.0, MaxLogL=6703.4208984375, BIC=-13259.16200771543, D0Occam=-24.024055699894983, NetPriorVolume=-24.024055699894983, Posterior=-88.759281616296
Order=(7, 1, 5), Seed=30, Evidence=6585.201747346168, Error=0.6484695825892233, V=1.0, MaxLogL=6708.625, BIC=-13262.186221382452, D0Occam=-34.33520235577494, NetPriorVolume=-34.33520235577494, Posterior=-72.96487029627042
Order=(7, 1, 6), Seed=30, Evidence=6561.019073305055, Error=0.8141966309273476, V=1.0, MaxLogL=6702.28125, BIC=-13242.114731924472, D0Occam=-17.259952458196366, NetPriorVolume=-17.259952458196366, Posterior=-97.1475443373838
Order=(7, 1, 7), Seed=30, Evidence=6543.647843407792, Error=0.9013310826920637, V=1.0, MaxLogL=6705.021484375, BIC=-13240.211211216494, D0Occam=-29.42554696191783, NetPriorVolume=-29.42554696191783, Posterior=-114.51877423464703
