Order=(0, 0, 1), Seed=33, Evidence=3277.8855131802966, Error=0.40975331004564114, V=1.0, MaxLogL=3307.938232421875, BIC=-6597.424656538411, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 0, 2), Seed=33, Evidence=3276.629565766956, Error=0.41997910147185197, V=1.0, MaxLogL=3309.448974609375, BIC=-6594.295538144965, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 0, 3), Seed=33, Evidence=3274.992325038184, Error=0.42899308652220364, V=1.0, MaxLogL=3310.932373046875, BIC=-6591.111732251518, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 0, 4), Seed=33, Evidence=3295.0498605457055, Error=0.40488355323791575, V=1.0, MaxLogL=3334.075439453125, BIC=-6631.247262295572, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 0, 5), Seed=33, Evidence=3291.73833941043, Error=0.40178996573865744, V=1.0, MaxLogL=3334.012451171875, BIC=-6624.970682964626, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 0, 6), Seed=33, Evidence=3290.6974051675024, Error=0.4942378247673688, V=1.0, MaxLogL=3334.749267578125, BIC=-6620.293713008679, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 0, 7), Seed=33, Evidence=3289.6479486688236, Error=0.3892830175445597, V=1.0, MaxLogL=3337.361083984375, BIC=-6619.366743052734, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 0, 8), Seed=33, Evidence=3290.193468056181, Error=0.4792296343007896, V=1.0, MaxLogL=3340.5830078125, BIC=-6619.659987940538, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 0, 9), Seed=33, Evidence=3290.4433539882307, Error=0.4813127758464232, V=1.0, MaxLogL=3343.377685546875, BIC=-6619.098740640841, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 0, 10), Seed=33, Evidence=3288.2831111406576, Error=0.5165653823473066, V=1.0, MaxLogL=3344.79833984375, BIC=-6615.789446466145, D0Occam=0.0, NetPriorVolume=0.0
Order=(1, 0, 0), Seed=33, Evidence=3255.8560997870504, Error=0.42079520349415833, V=1.0, MaxLogL=3297.06298828125, BIC=-6569.523565488715, D0Occam=-9.425219363746093, NetPriorVolume=-9.425219363746093
Order=(1, 0, 1), Seed=33, Evidence=3270.5188073442328, Error=0.520076505662333, V=1.0, MaxLogL=3309.877685546875, BIC=-6589.002357251518, D0Occam=-2.9969217472484253, NetPriorVolume=-2.9969217472484253
Order=(1, 0, 2), Seed=33, Evidence=3268.033759783475, Error=0.5237041704950067, V=1.0, MaxLogL=3319.41015625, BIC=-6601.916695889322, D0Occam=-6.012802179477844, NetPriorVolume=-6.012802179477844
Order=(1, 0, 3), Seed=33, Evidence=3270.514145059756, Error=0.5276048615064328, V=1.0, MaxLogL=3323.56396484375, BIC=-6604.073710308376, D0Occam=-5.258039775870315, NetPriorVolume=-5.258039775870315
Order=(1, 0, 4), Seed=33, Evidence=3287.3588649440417, Error=0.5442290849184771, V=1.0, MaxLogL=3334.19140625, BIC=-6619.177990352429, D0Occam=-2.6326716975558577, NetPriorVolume=-2.6326716975558577
Order=(1, 0, 5), Seed=33, Evidence=3282.925649464495, Error=0.5223191515360742, V=1.0, MaxLogL=3335.181884765625, BIC=-6615.008344615234, D0Occam=-5.486702197188798, NetPriorVolume=-5.486702197188798
Order=(1, 0, 6), Seed=33, Evidence=3282.4619709616422, Error=0.49082859564325393, V=1.0, MaxLogL=3334.802734375, BIC=-6608.099441065538, D0Occam=-1.7682794030747668, NetPriorVolume=-1.7682794030747668
Order=(1, 0, 7), Seed=33, Evidence=3281.8676904297295, Error=0.5967437377297272, V=1.0, MaxLogL=3337.458251953125, BIC=-6607.259873453341, D0Occam=-2.8169282503903257, NetPriorVolume=-2.8169282503903257
Order=(1, 0, 8), Seed=33, Evidence=3276.964279755297, Error=0.5714835536343718, V=1.0, MaxLogL=3340.032470703125, BIC=-6606.257708184895, D0Occam=-10.413035188410678, NetPriorVolume=-10.413035188410678
Order=(1, 0, 9), Seed=33, Evidence=3284.4426694889517, Error=0.6620831250771578, V=1.0, MaxLogL=3343.52490234375, BIC=-6607.091968697699, D0Occam=-3.6488010478335116, NetPriorVolume=-3.6488010478335116
Order=(1, 0, 10), Seed=33, Evidence=3282.413351285226, Error=0.511312601806507, V=1.0, MaxLogL=3346.610107421875, BIC=-6607.111776085502, D0Occam=-3.9717344819458646, NetPriorVolume=-3.9717344819458646
Order=(2, 0, 0), Seed=33, Evidence=3241.5808592110566, Error=0.5653004404665535, V=1.0, MaxLogL=3298.342041015625, BIC=-6559.780465420572, D0Occam=-8.236734527067942, NetPriorVolume=-8.236734527067942
Order=(2, 0, 1), Seed=33, Evidence=3253.834004445751, Error=0.604625500965004, V=1.0, MaxLogL=3310.793212890625, BIC=-6578.532206402126, D0Occam=-6.123326689913511, NetPriorVolume=-6.123326689913511
Order=(2, 0, 2), Seed=33, Evidence=3266.6877255208797, Error=0.43767116569076064, V=1.0, MaxLogL=3319.58642578125, BIC=-6589.968029414929, D0Occam=-7.900657181984269, NetPriorVolume=-7.900657181984269
Order=(2, 0, 3), Seed=33, Evidence=3274.4931093406844, Error=0.5102632431320848, V=1.0, MaxLogL=3325.62890625, BIC=-6595.902387583984, D0Occam=-8.941173196647892, NetPriorVolume=-8.941173196647892
Order=(2, 0, 4), Seed=33, Evidence=3280.167501840835, Error=0.5498758116531814, V=1.0, MaxLogL=3334.265625, BIC=-6607.025222315538, D0Occam=-7.077500764708718, NetPriorVolume=-7.077500764708718
Order=(2, 0, 5), Seed=33, Evidence=3278.331336904976, Error=0.539669602421814, V=1.0, MaxLogL=3334.35546875, BIC=-6601.054307047091, D0Occam=-6.437235154639248, NetPriorVolume=-6.437235154639248
Order=(2, 0, 6), Seed=33, Evidence=3269.8416259192477, Error=0.6040691004696123, V=1.0, MaxLogL=3335.336181640625, BIC=-6596.865130059895, D0Occam=-7.999031119757575, NetPriorVolume=-7.999031119757575
Order=(2, 0, 7), Seed=33, Evidence=3274.621066186566, Error=0.5136976355403293, V=1.0, MaxLogL=3338.085693359375, BIC=-6596.213550728949, D0Occam=-6.925361184291024, NetPriorVolume=-6.925361184291024
Order=(2, 0, 8), Seed=33, Evidence=3281.508886839762, Error=0.5662933500426671, V=1.0, MaxLogL=3341.838623046875, BIC=-6597.568807335502, D0Occam=-5.317091531887517, NetPriorVolume=-5.317091531887517
Order=(2, 0, 9), Seed=33, Evidence=3264.725877903591, Error=0.6546194819301269, V=1.0, MaxLogL=3340.2421875, BIC=-6588.225333473306, D0Occam=-9.338270900847911, NetPriorVolume=-9.338270900847911
