Order=(0, 1, 1), Seed=50, Evidence=1107.843176663632, Error=0.3817065529432882, V=1.0, MaxLogL=1133.6588134765625, BIC=-2247.081917904672, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 2), Seed=50, Evidence=1385.5591306031956, Error=0.39974378530400156, V=1.0, MaxLogL=1414.914794921875, BIC=-2802.8486444458126, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 3), Seed=50, Evidence=1526.5476962414093, Error=0.41779330810700627, V=1.0, MaxLogL=1558.834228515625, BIC=-3083.942275283828, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 4), Seed=50, Evidence=1650.8399872439525, Error=0.4917880475795155, V=1.0, MaxLogL=1687.080078125, BIC=-3333.6887381530937, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 5), Seed=50, Evidence=1702.8326389609135, Error=0.4561522301421233, V=1.0, MaxLogL=1741.468994140625, BIC=-3435.7213338348593, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 6), Seed=50, Evidence=1758.7780580348228, Error=0.48007648555411453, V=1.0, MaxLogL=1800.46728515625, BIC=-3546.9726795166252, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 7), Seed=50, Evidence=1793.1884904735414, Error=0.4920452579203346, V=1.0, MaxLogL=1839.232177734375, BIC=-3617.757228323391, D0Occam=0.0, NetPriorVolume=0.0
Order=(1, 1, 0), Seed=50, Evidence=1922.268634902578, Error=0.4012798647737193, V=1.0, MaxLogL=1956.7298583984375, BIC=-3886.4787713989376, D0Occam=-7.915020048438187, NetPriorVolume=-7.915020048438187
Order=(1, 1, 1), Seed=50, Evidence=1925.834413453667, Error=0.4610901922928702, V=1.0, MaxLogL=1962.9276123046875, BIC=-3892.129042861953, D0Occam=-8.09689566444367, NetPriorVolume=-8.09689566444367
Order=(1, 1, 2), Seed=50, Evidence=1931.6327174366938, Error=0.45470882816949765, V=1.0, MaxLogL=1971.47998046875, BIC=-3902.4885428405937, D0Occam=-7.956965942845381, NetPriorVolume=-7.956965942845381
Order=(1, 1, 3), Seed=50, Evidence=1934.0383863187665, Error=0.46828618068215433, V=1.0, MaxLogL=1974.369384765625, BIC=-3901.5221150848593, D0Occam=-7.947686290719396, NetPriorVolume=-7.947686290719396
Order=(1, 1, 4), Seed=50, Evidence=1931.9502488756714, Error=0.4868243387216465, V=1.0, MaxLogL=1977.443359375, BIC=-3900.9248279541252, D0Occam=-7.847966582126216, NetPriorVolume=-7.847966582126216
Order=(1, 1, 5), Seed=50, Evidence=1928.7270775267882, Error=0.5020282249190416, V=1.0, MaxLogL=1977.5113525390625, BIC=-3894.315577932766, D0Occam=-7.808044176002846, NetPriorVolume=-7.808044176002846
Order=(1, 1, 6), Seed=50, Evidence=1928.6348252693624, Error=0.5842207764629266, V=1.0, MaxLogL=1979.7476806640625, BIC=-3892.0429978332813, D0Occam=-7.698715829501825, NetPriorVolume=-7.698715829501825
Order=(1, 1, 7), Seed=50, Evidence=1923.7554486620495, Error=0.5580470960580691, V=1.0, MaxLogL=1979.9609375, BIC=-3885.724275155672, D0Occam=-7.737678072112322, NetPriorVolume=-7.737678072112322
Order=(2, 1, 0), Seed=50, Evidence=1915.2467835562625, Error=0.4951243377918507, V=1.0, MaxLogL=1968.3587646484375, BIC=-3896.2461111999687, D0Occam=-3.659538143488983, NetPriorVolume=-3.659538143488983
Order=(2, 1, 1), Seed=50, Evidence=1925.637149435389, Error=0.4350553305499865, V=1.0, MaxLogL=1969.609130859375, BIC=-3892.0016072723593, D0Occam=-10.801794075787162, NetPriorVolume=-10.801794075787162
Order=(2, 1, 2), Seed=50, Evidence=1927.202151479029, Error=0.504088670769028, V=1.0, MaxLogL=1981.20556640625, BIC=-3908.4492420166252, D0Occam=-8.419319350664992, NetPriorVolume=-8.419319350664992
Order=(2, 1, 3), Seed=50, Evidence=1924.673194013175, Error=0.4769370276716034, V=1.0, MaxLogL=1975.5128173828125, BIC=-3890.318507620266, D0Occam=-7.925491357805512, NetPriorVolume=-7.925491357805512
Order=(2, 1, 4), Seed=50, Evidence=1931.4989164364215, Error=0.4984832102215154, V=1.0, MaxLogL=1980.46044921875, BIC=-3893.4685349426563, D0Occam=-6.147141034195794, NetPriorVolume=-6.147141034195794
Order=(2, 1, 5), Seed=50, Evidence=1928.5718106615316, Error=0.5579002455792702, V=1.0, MaxLogL=1981.8975830078125, BIC=-3889.597566171297, D0Occam=-10.984887771912781, NetPriorVolume=-10.984887771912781
Order=(2, 1, 6), Seed=50, Evidence=1921.7329042382044, Error=0.5295048333014613, V=1.0, MaxLogL=1983.0526123046875, BIC=-3885.1623884155624, D0Occam=-6.737222359511688, NetPriorVolume=-6.737222359511688
Order=(2, 1, 7), Seed=50, Evidence=1922.649687879652, Error=0.531274748404037, V=1.0, MaxLogL=1982.258056640625, BIC=-3876.8280407379534, D0Occam=-9.016127047892326, NetPriorVolume=-9.016127047892326
Order=(3, 1, 0), Seed=50, Evidence=1918.6067242819024, Error=0.5405781619864677, V=1.0, MaxLogL=1974.0755615234375, BIC=-3894.1892322510002, D0Occam=-8.78230908883367, NetPriorVolume=-8.78230908883367
Order=(3, 1, 1), Seed=50, Evidence=1917.1120241210654, Error=0.4966197209430864, V=1.0, MaxLogL=1967.4139404296875, BIC=-3874.120753714016, D0Occam=-9.222882174526614, NetPriorVolume=-9.222882174526614
Order=(3, 1, 2), Seed=50, Evidence=1921.1810438683142, Error=0.5058597920497927, V=1.0, MaxLogL=1971.8680419921875, BIC=-3876.2837204895313, D0Occam=-9.809033167710226, NetPriorVolume=-9.809033167710226
Order=(3, 1, 3), Seed=50, Evidence=1919.5536287035388, Error=0.5832803161671013, V=1.0, MaxLogL=1981.41845703125, BIC=-3888.639314218172, D0Occam=-8.916292654138315, NetPriorVolume=-8.916292654138315
Order=(3, 1, 4), Seed=50, Evidence=1933.973105532572, Error=0.44687647176210726, V=1.0, MaxLogL=1984.3055419921875, BIC=-3887.6682477905624, D0Occam=-9.880871274272891, NetPriorVolume=-9.880871274272891
Order=(3, 1, 5), Seed=50, Evidence=1926.7853812869769, Error=0.45646439726926386, V=1.0, MaxLogL=1981.494140625, BIC=-3875.3002087067034, D0Occam=-9.111422685012748, NetPriorVolume=-9.111422685012748
Order=(3, 1, 6), Seed=50, Evidence=1919.5705833863049, Error=0.5711618322670033, V=1.0, MaxLogL=1977.125, BIC=-3859.816691107219, D0Occam=-7.957601391536066, NetPriorVolume=-7.957601391536066
Order=(3, 1, 7), Seed=50, Evidence=1914.9739952135137, Error=0.5360853302684235, V=1.0, MaxLogL=1976.7918701171875, BIC=-3852.4051949921095, D0Occam=-10.203850993398493, NetPriorVolume=-10.203850993398493
Order=(4, 1, 0), Seed=50, Evidence=1919.0217048709285, Error=0.5666151557917369, V=1.0, MaxLogL=1977.1812744140625, BIC=-3886.9101853332813, D0Occam=-10.49275067919388, NetPriorVolume=-10.49275067919388
