Order=(0, 1, 1), Seed=30, Evidence=5780.333168457144, Error=0.45792440967033066, V=1.0, MaxLogL=5812.74462890625, BIC=-11603.533639166797, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 2), Seed=30, Evidence=6208.525410355238, Error=0.4941067422063396, V=1.0, MaxLogL=6245.638671875, BIC=-12462.003185555728, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 3), Seed=30, Evidence=6721.767572127494, Error=0.5027001817279756, V=1.0, MaxLogL=6762.912109375, BIC=-13489.231521007161, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 4), Seed=30, Evidence=6886.895073564789, Error=0.46892644280286505, V=1.0, MaxLogL=6930.5556640625, BIC=-13817.200090833592, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 5), Seed=30, Evidence=6946.110238731846, Error=0.5121935222289464, V=1.0, MaxLogL=6993.18603515625, BIC=-13935.142293472525, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 6), Seed=30, Evidence=6981.8074692516675, Error=0.5772356567096714, V=1.0, MaxLogL=7033.4580078125, BIC=-14008.367699236456, D0Occam=0.0, NetPriorVolume=0.0
Order=(0, 1, 7), Seed=30, Evidence=7006.386080430645, Error=0.5336679491366301, V=1.0, MaxLogL=7060.10595703125, BIC=-14054.34505812539, D0Occam=0.0, NetPriorVolume=0.0
Order=(1, 1, 0), Seed=30, Evidence=6809.428549319894, Error=0.5172856888680374, V=1.0, MaxLogL=6859.14599609375, BIC=-13689.017833993228, D0Occam=-10.477012825934986, NetPriorVolume=-10.477012825934986
Order=(1, 1, 1), Seed=30, Evidence=6958.766692915747, Error=0.498479760650563, V=1.0, MaxLogL=7007.822265625, BIC=-13979.051833507161, D0Occam=-10.174334178584354, NetPriorVolume=-10.174334178584354
Order=(1, 1, 2), Seed=30, Evidence=6971.032645011518, Error=0.5352648383913566, V=1.0, MaxLogL=7024.24560546875, BIC=-14004.579973646092, D0Occam=-9.942298258573295, NetPriorVolume=-9.942298258573295
Order=(1, 1, 3), Seed=30, Evidence=7025.24392673275, Error=0.6001394063915263, V=1.0, MaxLogL=7087.21337890625, BIC=-14123.196980972525, D0Occam=-9.100790023214719, NetPriorVolume=-9.100790023214719
Order=(1, 1, 4), Seed=30, Evidence=7189.068400566886, Error=0.5345776654293152, V=1.0, MaxLogL=7246.9931640625, BIC=-14435.438011736456, D0Occam=-11.526229593853923, NetPriorVolume=-11.526229593853923
Order=(1, 1, 5), Seed=30, Evidence=7194.105097745164, Error=0.5931437102373712, V=1.0, MaxLogL=7254.2958984375, BIC=-14442.72494093789, D0Occam=-11.581784899022491, NetPriorVolume=-11.581784899022491
Order=(1, 1, 6), Seed=30, Evidence=7189.055069553865, Error=0.5601103706293817, V=1.0, MaxLogL=7254.431640625, BIC=-14435.67788576432, D0Occam=-11.614882342641117, NetPriorVolume=-11.614882342641117
