Order=(0, 0, 1), Seed=33, Evidence=-782.3413838767846, Error=0.2512780285890152, V=1.0, MaxLogL=-767.8222045898438, BIC=1553.9721519279806, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-133.11676422590335
Order=(0, 0, 2), Seed=33, Evidence=-727.9559343398341, Error=0.32768420216102573, V=1.0, MaxLogL=-710.2861328125, BIC=1445.0092559560574, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-78.73131468895292
Order=(0, 0, 3), Seed=33, Evidence=-690.9395643053722, Error=0.34315941751039625, V=1.0, MaxLogL=-670.3973388671875, BIC=1371.3409156481969, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-41.71494465449098
Order=(0, 0, 4), Seed=33, Evidence=-683.9639737977345, Error=0.3709405378408048, V=1.0, MaxLogL=-660.6621704101562, BIC=1357.9798263168987, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-34.739354146853316
Order=(0, 0, 5), Seed=33, Evidence=-682.2596787498553, Error=0.36177070556296836, V=1.0, MaxLogL=-655.7849731445312, BIC=1354.3346793684132, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-33.0350590989741
Order=(1, 0, 0), Seed=33, Evidence=-663.8197283835998, Error=0.29881933862211335, V=1.0, MaxLogL=-647.2962036132812, BIC=1319.0293975576199, D0Occam=-3.1226364721752846, NetPriorVolume=-3.1226364721752846, Posterior=-14.595108732718586
Order=(1, 0, 1), Seed=33, Evidence=-651.9813696914707, Error=0.32380205186570693, V=1.0, MaxLogL=-631.7176513671875, BIC=1293.9815406481969, D0Occam=-3.366267540815544, NetPriorVolume=-3.366267540815544, Posterior=-2.756750040589509
Order=(1, 0, 2), Seed=33, Evidence=-652.7613576800204, Error=0.39665041784472627, V=1.0, MaxLogL=-629.4874877929688, BIC=1295.6304610825237, D0Occam=-3.3184051680520703, NetPriorVolume=-3.3184051680520703, Posterior=-3.536738029139201
Order=(1, 0, 3), Seed=33, Evidence=-654.9714120381343, Error=0.3030635872403858, V=1.0, MaxLogL=-629.302978515625, BIC=1301.3706901106007, D0Occam=-3.327830810060663, NetPriorVolume=-3.327830810060663, Posterior=-5.746792387253095
Order=(1, 0, 4), Seed=33, Evidence=-656.8790446701407, Error=0.3624676364127292, V=1.0, MaxLogL=-628.8728637695312, BIC=1306.6197082011774, D0Occam=-3.340426935554623, NetPriorVolume=-3.340426935554623, Posterior=-7.65442501925952
Order=(1, 0, 5), Seed=33, Evidence=-658.1171617336356, Error=0.38222290168521716, V=1.0, MaxLogL=-627.824951171875, BIC=1310.6331305886292, D0Occam=-3.2985780918284027, NetPriorVolume=-3.2985780918284027, Posterior=-8.892542082754403
Order=(2, 0, 0), Seed=33, Evidence=-649.615932937596, Error=0.3010131325672168, V=1.0, MaxLogL=-629.3194580078125, BIC=1295.2944015122112, D0Occam=-3.2860205582978255, NetPriorVolume=-3.2860205582978255, Posterior=-0.3913132867147624
Order=(2, 0, 1), Seed=33, Evidence=-651.1107967249063, Error=0.31943431110463827, V=1.0, MaxLogL=-629.300048828125, BIC=1301.3648307356007, D0Occam=-2.61583152733199, NetPriorVolume=-2.61583152733199, Posterior=-1.8861770740251131
Order=(2, 0, 2), Seed=33, Evidence=-653.4795948336529, Error=0.338189857424997, V=1.0, MaxLogL=-629.007080078125, BIC=1306.888140818365, D0Occam=-2.5439017840291505, NetPriorVolume=-2.5439017840291505, Posterior=-4.254975182771659
Order=(2, 0, 3), Seed=33, Evidence=-655.238812793218, Error=0.36006349663622494, V=1.0, MaxLogL=-628.8167114257812, BIC=1312.6166510964417, D0Occam=-2.5252731591086475, NetPriorVolume=-2.5252731591086475, Posterior=-6.014193142336808
Order=(2, 0, 4), Seed=33, Evidence=-657.437256204136, Error=0.3667801805379863, V=1.0, MaxLogL=-628.3331909179688, BIC=1317.7588576635812, D0Occam=-2.808101216122067, NetPriorVolume=-2.808101216122067, Posterior=-8.21263655325481
Order=(2, 0, 5), Seed=33, Evidence=-660.1055738617031, Error=0.3703240370305101, V=1.0, MaxLogL=-627.2166137695312, BIC=1321.6349509494705, D0Occam=-2.489875150263079, NetPriorVolume=-2.489875150263079, Posterior=-10.88095421082187
Order=(3, 0, 0), Seed=33, Evidence=-652.418282053222, Error=0.3219731411229332, V=1.0, MaxLogL=-629.33251953125, BIC=1307.539019724615, D0Occam=-2.6149921798839606, NetPriorVolume=-2.6149921798839606, Posterior=-3.193662402340806
Order=(3, 0, 1), Seed=33, Evidence=-653.9452085001468, Error=0.33852196553135455, V=1.0, MaxLogL=-628.7832641601562, BIC=1312.5497565651917, D0Occam=-2.9091715861263907, NetPriorVolume=-2.9091715861263907, Posterior=-4.720588849265596
Order=(3, 0, 2), Seed=33, Evidence=-654.9302615513445, Error=0.36458156046913076, V=1.0, MaxLogL=-628.076416015625, BIC=1317.2453078588937, D0Occam=-3.0008409359815973, NetPriorVolume=-3.0008409359815973, Posterior=-5.70564190046332
