Order=(0, 0, 1), Seed=25, Evidence=-1170.9458816325348, Error=0.11946964322403902, V=1.0, MaxLogL=-1161.3114013671875, BIC=2339.2465933698504, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-108.0346427951788
Order=(0, 0, 2), Seed=25, Evidence=-1106.032848363019, Error=0.18164413573226462, V=1.0, MaxLogL=-1093.6234130859375, BIC=2209.411880352509, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-43.12160952566296
Order=(0, 0, 3), Seed=25, Evidence=-1090.8557051847013, Error=0.1740973984104553, V=1.0, MaxLogL=-1076.0843505859375, BIC=2179.875018897667, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-27.94446634734527
Order=(0, 0, 4), Seed=25, Evidence=-1082.4743875620327, Error=0.18559877451074902, V=1.0, MaxLogL=-1065.029296875, BIC=2163.3061750209504, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-19.563148724676694
Order=(0, 0, 5), Seed=25, Evidence=-1084.4052645341994, Error=0.18243973869909572, V=1.0, MaxLogL=-1064.6004638671875, BIC=2167.989772550484, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-21.494025696843437
Order=(0, 0, 6), Seed=25, Evidence=-1086.4200903732717, Error=0.19860971717347323, V=1.0, MaxLogL=-1064.459716796875, BIC=2173.2495419550173, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-23.50885153591571
Order=(0, 0, 7), Seed=25, Evidence=-1088.0536255653972, Error=0.22281003513443629, V=1.0, MaxLogL=-1063.90966796875, BIC=2177.690707843926, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-25.142386728041174
Order=(0, 0, 8), Seed=25, Evidence=-1085.1994303818947, Error=0.230972798815499, V=1.0, MaxLogL=-1057.9620361328125, BIC=2171.3367077172093, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-22.288191544538677
Order=(0, 0, 9), Seed=25, Evidence=-1087.431801686517, Error=0.1997842940079355, V=1.0, MaxLogL=-1057.7464599609375, BIC=2176.4468189186177, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-24.520562849161024
Order=(0, 0, 10), Seed=25, Evidence=-1087.9217224445626, Error=0.2193927546652067, V=1.0, MaxLogL=-1056.4083251953125, BIC=2179.311812932526, D0Occam=0.0, NetPriorVolume=0.0, Posterior=-25.010483607206652
Order=(1, 0, 0), Seed=25, Evidence=-1139.881980876838, Error=0.12408349183558598, V=1.0, MaxLogL=-1130.6859130859375, BIC=2283.536880352509, D0Occam=-0.7829905865310358, NetPriorVolume=-0.7829905865310358, Posterior=-76.97074203948205
Order=(1, 0, 1), Seed=25, Evidence=-1101.763039650017, Error=0.1423924764158316, V=1.0, MaxLogL=-1089.73095703125, BIC=2207.168231788292, D0Occam=-0.9281764906452178, NetPriorVolume=-0.9281764906452178, Posterior=-38.85180081266094
Order=(1, 0, 2), Seed=25, Evidence=-1082.61054123781, Error=0.16619055629912102, V=1.0, MaxLogL=-1067.50439453125, BIC=2168.2563703334504, D0Occam=-0.9098845207166113, NetPriorVolume=-0.9098845207166113, Posterior=-19.699302400453917
Order=(1, 0, 3), Seed=25, Evidence=-1081.334414255138, Error=0.15897920077646613, V=1.0, MaxLogL=-1064.1334228515625, BIC=2167.055690519234, D0Occam=-0.7198467206723954, NetPriorVolume=-0.7198467206723954, Posterior=-18.423175417781977
Order=(1, 0, 4), Seed=25, Evidence=-1081.2442919747757, Error=0.16636002116163828, V=1.0, MaxLogL=-1061.81396484375, BIC=2167.9580380487673, D0Occam=-0.38883607688689587, NetPriorVolume=-0.38883607688689587, Posterior=-18.33305313741971
Order=(1, 0, 5), Seed=25, Evidence=-1081.4474041846586, Error=0.18013478961040386, V=1.0, MaxLogL=-1057.3006591796875, BIC=2164.472690265801, D0Occam=-0.6935227434075416, NetPriorVolume=-0.6935227434075416, Posterior=-18.536165347302585
Order=(1, 0, 6), Seed=25, Evidence=-1082.5518327169032, Error=0.1887737693488228, V=1.0, MaxLogL=-1056.2725830078125, BIC=2167.9578014672093, D0Occam=-0.9728705864592054, NetPriorVolume=-0.9728705864592054, Posterior=-19.64059387954717
Order=(1, 0, 7), Seed=25, Evidence=-1082.998553667769, Error=0.20157441313980118, V=1.0, MaxLogL=-1054.6697998046875, BIC=2170.2934986061177, D0Occam=-0.960670071111414, NetPriorVolume=-0.960670071111414, Posterior=-20.087314830413106
Order=(1, 0, 8), Seed=25, Evidence=-1082.3945089604742, Error=0.22732695807883616, V=1.0, MaxLogL=-1053.40380859375, BIC=2173.302779729401, D0Occam=-0.784416261187082, NetPriorVolume=-0.784416261187082, Posterior=-19.483270123118245
Order=(1, 0, 9), Seed=25, Evidence=-1080.620548716673, Error=0.20436981861678388, V=1.0, MaxLogL=-1049.693115234375, BIC=2171.4226565558097, D0Occam=-1.2094711144969215, NetPriorVolume=-1.2094711144969215, Posterior=-17.70930987931706
Order=(1, 0, 10), Seed=25, Evidence=-1081.8663631181203, Error=0.22623581283286734, V=1.0, MaxLogL=-1048.789794921875, BIC=2175.157279475968, D0Occam=-1.190243208511724, NetPriorVolume=-1.190243208511724, Posterior=-18.955124280764267
