,,phi_1,theta_1,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,
0,0.0,0.365022,-0.9903868,4.0634346,-1.0350853,0.7786309,-1.6131952e+11,,500
1,0.0,0.5719487,-0.9860041,4.0908957,1.6289469,1.1648701,-9.029687e+10,,499
2,0.0,-0.316201,-0.9643091,4.228698,-0.8898188,1.4929235,-3.9806304e+10,,498
3,0.0,0.17013179,-0.9470028,4.3408613,-1.8480965,1.6309712,-2.9857595e+10,,497
4,0.0,-0.499645,-0.9442197,4.359085,-0.95796484,-0.009500961,-2.3501588e+10,,496
5,0.0,0.092053875,-0.9517151,4.3101234,1.3277903,3.4032338,-2.2482242e+10,,495
6,0.0,-0.5126001,-0.860788,4.929457,2.1228201,1.3142661,-1.503303e+10,,494
7,0.0,-0.7947944,-0.8052605,5.335068,2.2366157,2.427384,-1.0284705e+10,,493
8,0.0,-0.6682153,-0.93751776,4.40318,-0.63412297,0.55513084,-9.996643e+09,,492
9,0.0,0.20076847,-0.9622989,4.241624,0.77006894,0.6605593,-9.814627e+09,,491
10,0.0,-0.43114224,-0.8352988,5.113057,2.175644,1.0872965,-9.407221e+09,,490
11,0.0,0.13407725,-0.95462376,4.291225,-0.6656564,0.29029056,-5.8533786e+09,,489
12,0.0,-0.575278,-0.72144276,5.9869385,2.835778,2.6645644,-4.9585725e+09,,488
13,0.0,-0.7837544,-0.81388557,5.2706947,1.3101207,1.4781432,-3.9079693e+09,,487
14,0.0,-0.2299596,-0.9458904,4.34814,0.39960146,1.4614,-2.9305428e+09,,486
15,0.0,0.43212476,-0.9570305,4.275629,0.6617445,1.5347062,-2.7973194e+09,,485
16,0.0,-0.8186805,-0.84196705,5.0646,0.8276736,2.3882768,-2.4275016e+09,,484
17,0.0,-0.36922517,-0.8024931,5.3558292,1.4162254,2.297993,-2.3155354e+09,,483
18,0.0,-0.7620671,-0.8892521,4.729612,0.52639425,0.5159176,-2.1446436e+09,,482
19,0.0,-0.34974018,-0.97837174,4.13902,-0.11881412,0.93764544,-2.0565449e+09,,481
20,0.0,-0.028274126,-0.7814924,5.5150723,1.8661823,1.5330737,-1.7501768e+09,,480
21,0.0,0.25242877,-0.802548,5.3554163,2.2373188,-0.6757165,-1.7249836e+09,,479
22,0.0,0.07145272,-0.7243461,5.9635615,2.7887042,-0.40811515,-1.715728e+09,,478
23,0.0,-0.4948644,-0.85002625,5.006439,0.7894362,-1.4957464,-1.7004005e+09,,477
24,0.0,0.49495813,-0.8631388,4.9127445,2.0160885,0.44847465,-1.5755642e+09,,476
25,0.0,0.31689015,-0.8614863,4.9244885,1.4915562,2.481445,-1.5347588e+09,,475
26,0.0,-0.721214,-0.64010066,6.6651344,1.9415154,-0.24149685,-1.3442572e+09,,474
27,0.0,-0.99542785,-0.635395,6.7057376,1.7063575,1.3916273,-1.3422694e+09,,473
28,0.0,-0.29484603,-0.6480298,6.597054,2.4905298,-0.3181661,-1.3358337e+09,,472
29,0.0,0.115017526,-0.9372327,4.4050627,0.43837404,2.1365452,-1.3317503e+09,,471
30,0.0,-0.9182529,-0.5354471,7.603271,2.463688,1.5746076,-1.2406319e+09,,470
31,0.0,-0.75317734,-0.70117176,6.1517544,1.3625453,2.8297143,-1.1662483e+09,,469
32,0.0,-0.64275926,-0.57498,7.240272,2.30874,2.2241588,-1.0521568e+09,,468
33,0.0,0.40758234,-0.8727882,4.844538,1.2714788,-0.38185716,-1.024432e+09,,467
34,0.0,-0.057436224,-0.7082932,6.093535,1.9968681,1.0731637,-9.7610106e+08,,466
35,0.0,-0.6897245,-0.6592557,6.501395,1.3978733,-0.24819575,-7.8721536e+08,,465
36,0.0,-0.40194485,-0.5743601,7.2458835,2.215085,1.2227184,-7.025328e+08,,464
