,,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\theta_5$,$\theta_6$,$\theta_7$,$\theta_8$,$\theta_9$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,
0,0.0,-1.1852676,-0.2588535,0.77324563,-0.3296503,-0.49244055,0.41428712,0.056789584,0.373515,-0.34927103,10.427055,-14.75082,-4.530521e+07,,1000
1,0.0,-0.22995654,-0.6076338,-0.5857518,0.59075046,0.66399235,-0.14404707,-0.7189835,-0.39840558,0.43604437,6.9483147,-8.303691,-2.1077592e+06,,999
2,0.0,-0.22963746,-0.8980439,-0.19028096,0.1446505,-0.087206356,0.49355757,-0.013343533,-0.3235943,0.12784638,4.668988,10.297989,-1.401983e+06,,998
3,0.0,-0.33239987,-1.0360621,0.17287976,0.24988674,0.555445,0.20078827,-1.1173954,-0.09522907,0.41871983,3.7847495,6.928195,-1.4003598e+06,,997
4,0.0,-0.8179534,-0.4185109,0.49506316,-0.6925409,0.39308566,0.07169777,0.23991595,0.36867234,-0.63144654,8.737337,-7.017911,-1.3623941e+06,,996
5,0.0,-0.30623382,-1.1065116,0.2978985,0.29194126,-0.11164339,-0.2227179,0.7180654,0.202855,-0.73878896,3.3814263,5.3960342,-447611.16,,995
6,0.0,0.0315609,-0.33386925,-0.25383958,-0.6240653,0.17221431,-0.069622576,-0.26541844,0.41445574,-0.0644795,9.613266,-4.8816223,-419313.47,,994
7,0.0,-1.3380494,-0.45665377,0.44908902,0.5539468,0.32970756,-0.17209893,-0.96946937,0.6301199,-0.023899201,8.357606,1.8523523,-336958.5,,993
8,0.0,-0.7353219,-0.73149574,0.4347589,0.34870562,-0.24104954,-0.14104804,0.36490926,-0.28283724,-0.013655223,5.906236,-0.5646066,-320160.88,,992
9,0.0,-0.7282926,-0.51916444,0.9102386,-0.35680544,-0.32749557,-0.009972389,0.4749545,-0.09925935,-0.33904505,7.755802,4.4941354,-263984.4,,991
