,,theta_1,theta_2,theta_3,theta_4,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
0,0.0,-0.52452886,-1.1096619,0.3269513,0.36450532,3.3641317,8.563643,-358051.06,,500
1,0.0,0.6696876,-0.5219316,-0.6931939,-0.4451935,7.7297564,6.5402956,-244914.61,,499
2,0.0,-0.49161422,-0.040967938,-0.6357314,0.19165175,12.980099,8.426224,-109390.8,,498
3,0.0,-0.358895,-0.92912084,-0.0002398724,0.3292763,4.4588504,4.0594597,-62175.01,,497
4,0.0,-0.013036326,-1.7840705,0.00044470897,0.9916717,0.9331484,3.1968274,-50458.348,,496
5,0.0,0.053497035,-1.242139,-0.21289386,0.58065987,2.6927052,6.9939075,-36662.55,,495
6,0.0,0.011004397,-0.54565537,-0.5925084,0.20717669,7.50854,7.8517694,-29368.13,,494
7,0.0,0.14816011,-1.1474885,-0.42918283,0.63319546,3.161361,7.3162513,-23016.059,,493
8,0.0,-0.31226143,-0.2540013,0.31474268,-0.7274575,10.48088,-1.6795689,-22041.99,,492
9,0.0,-0.37148076,-0.61736465,0.106981166,-0.1074216,6.8626966,0.08690739,-20269.807,,491
10,0.0,-0.23978385,0.039081063,-0.17690597,-0.53797156,13.984576,-8.306678,-14643.86,,490
11,0.0,-0.66076225,0.03564171,0.22153062,-0.5510599,13.940723,5.500803,-11745.906,,489
12,0.0,-0.39465612,-0.2777177,-0.45229852,0.19263853,10.219155,-2.6990206,-7685.79,,488
13,0.0,0.66077244,-0.980707,-0.40007052,0.2868816,4.1242547,-11.087315,-7344.623,,487
14,0.0,0.15563524,0.04129586,-0.59563756,-0.4547413,14.01285,10.997574,-6808.1953,,486
15,0.0,0.5078785,-0.4675636,-0.5338755,-0.4360094,8.250731,3.966381,-6473.7285,,485
16,0.0,0.14709678,-1.3446608,-0.29594755,0.62795484,2.2449958,-0.4513382,-6118.6167,,484
17,0.0,-0.38198274,-0.47171792,0.047486212,0.09900245,8.210238,11.310995,-5694.5093,,483
18,0.0,0.16307485,-0.5421822,-0.263804,-0.22732511,7.5406933,4.969762,-4982.7515,,482
19,0.0,-0.6687552,-0.76100045,0.2365215,0.35210443,5.6733437,-2.4805772,-4756.481,,481
20,0.0,-0.060775913,-0.14334996,0.031294525,-0.6375066,11.746406,8.734059,-4273.7446,,480
21,0.0,-0.11357065,-1.0522941,-0.05061122,0.61642176,3.6889882,-4.087529,-3842.7852,,479
22,0.0,-0.3489579,-0.0261144,-0.16631658,-0.14617176,13.163899,13.200823,-3669.5266,,478
23,0.0,-0.8592306,-0.93490106,0.79685193,0.10298198,4.420479,-0.4496413,-3441.9316,,477
24,0.0,-1.271264,0.6784122,-0.02883672,-0.32651743,23.067661,-1.9872502,-3248.2783,,476
25,0.0,-0.98173994,-0.17301671,-0.022478858,0.4006874,11.400041,-5.52591,-3134.2766,,475
26,0.0,-0.21601725,-0.88819295,0.23991965,0.08824829,4.7369504,4.0827937,-3114.1938,,474
27,0.0,-0.3253156,-0.41014114,-0.4829287,0.38790777,8.821919,5.009223,-3103.9397,,473
28,0.0,0.20404048,-0.48333874,-0.6966554,0.066735454,8.097568,3.058492,-3080.671,,472
29,0.0,-1.4017649,0.28894562,0.8387873,-0.5930309,17.326626,-4.458244,-3062.8152,,471
30,0.0,-0.476285,0.036193673,0.22341283,-0.5696981,13.947756,8.2381935,-3006.8074,,470
31,0.0,-1.3031578,0.6486103,-0.057756186,-0.20607455,22.60869,5.1046543,-3006.6768,,469
32,0.0,0.29857206,-0.107619956,-0.4285725,-0.73331964,12.170266,-0.116969876,-2927.1191,,468
33,0.0,-0.15903983,-0.671185,-0.20495875,0.66417676,6.400676,11.34489,-2859.7395,,467
34,0.0,0.7713907,-0.6506105,-0.7995316,-0.22249182,6.5749884,2.7806258,-2856.638,,466
35,0.0,-0.98288727,-0.3896034,0.66790134,0.01541826,9.03137,7.469626,-2727.623,,465
36,0.0,-0.45501104,-0.59854776,-0.23848507,0.47855335,7.028835,4.1793823,-2716.148,,464
37,0.0,-0.7190945,-0.17106639,0.16858311,0.18409552,11.422654,12.600354,-2707.774,,463
38,0.0,-1.1309458,0.015453823,0.3135617,-0.023214428,13.684563,5.8858867,-2632.5771,,462
39,0.0,-1.2002255,0.11069703,0.6749547,-0.38860518,14.911482,-4.7674394,-2596.1091,,461
40,0.0,-0.30488095,-0.017551031,-0.33511496,-0.3000263,13.270403,-0.25398687,-2581.8606,,460
41,0.0,-0.12859009,-0.9740701,-0.17158036,0.77871984,4.1663127,-4.127228,-2509.4167,,459
42,0.0,-0.69997483,-0.2732915,0.14872842,0.064066134,10.267743,6.002015,-2486.3843,,458
43,0.0,-0.42453983,0.06869148,0.2696993,-0.73294866,14.364653,-3.8809645,-2471.3262,,457
44,0.0,-0.970741,0.79039776,-0.9633283,0.23300725,24.81782,-2.3611844,-2449.599,,456
45,0.0,0.27019766,-0.9491311,0.1869434,0.5312965,4.326961,11.587874,-2428.9207,,455
46,0.0,-0.9242974,0.3618031,-0.957417,0.5597857,18.355112,-0.24266864,-2426.8386,,454
