,,phi_1,theta_1,theta_2,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
0,0.0,-0.29523677,-1.1865697,0.19256823,2.9612284,4.8606315,-3.1718664,-7.808412e+12,,1000
1,0.0,-0.677734,-0.044740632,-0.94985616,12.933607,-10.534941,1.8339669,-1.8267789e+12,,999
2,0.0,0.32405612,-1.1919279,0.20005414,2.9345222,-2.7470796,-8.673383,-4.348061e+11,,998
3,0.0,0.06782201,-0.7184755,-0.27540416,6.01089,3.761907,0.7466304,-4.294416e+11,,997
4,0.0,0.17116842,-0.93941945,-0.044437334,4.390638,-4.687473,-2.0831566,-2.4339512e+11,,996
5,0.0,-0.56733364,-0.68956757,-0.26755446,6.2473593,5.087992,5.491711,-8.161319e+10,,995
6,0.0,0.17287792,-0.5094349,-0.4311485,7.8477817,14.358535,14.788759,-6.1073793e+10,,994
7,0.0,-0.29788586,-1.0999299,0.1718674,3.41776,-3.8852437,1.7299483,-4.1418637e+10,,993
8,0.0,0.17013179,-0.9470028,0.08085764,4.3408613,-14.240482,3.1548557,-4.1389335e+10,,992
9,0.0,-0.52971864,-1.2039087,0.34159282,2.8754396,4.8329005,-2.3426108,-3.5175862e+10,,991
10,0.0,-0.6630806,-1.549049,0.8003968,1.5228032,-4.1513324,-0.86933184,-3.3257697e+10,,990
11,0.0,0.5485486,-0.24317636,-0.7394608,10.601474,8.573046,-5.6986804,-3.1207913e+10,,989
12,0.0,-0.13855319,-1.5761065,0.8611146,1.4427651,-6.2958794,2.1024992,-3.1110154e+10,,988
13,0.0,0.17974906,-0.720562,-0.208411,5.994043,-8.996868,7.7141395,-2.8976763e+10,,987
14,0.0,-0.8707866,-0.022626508,-0.89211863,13.20723,9.943169,8.497798,-2.5813783e+10,,986
15,0.0,-0.1330668,-0.7861331,-0.058417078,5.4796247,10.783356,-3.1798787,-2.0596302e+10,,985
16,0.0,-0.24431749,-0.3198502,-0.5244308,9.762705,16.657623,10.568616,-1.840183e+10,,984
17,0.0,-0.37041512,-1.4145285,0.49945927,1.9736778,-1.502973,-12.746069,-1.5038367e+10,,983
18,0.0,-0.575278,-0.72144276,-0.07914789,5.9869385,9.178891,8.322823,-1.4737978e+10,,982
19,0.0,-0.22584158,-0.9920903,0.14229082,4.0527954,5.9823294,1.3875413,-1.4580896e+10,,981
20,0.0,0.43494713,-0.026375355,-0.9488864,13.16066,-7.5726323,-8.238142,-1.3309775e+10,,980
21,0.0,0.16417083,-1.3327268,0.504279,2.2940228,5.224005,-8.158522,-1.2480119e+10,,979
22,0.0,-0.8537424,-0.7275027,-0.084172145,5.9382086,-6.668793,-4.948363,-1.2262039e+10,,978
23,0.0,-0.24326254,-0.42067173,-0.44101864,8.715573,10.411906,13.7458315,-1.1384195e+10,,977
24,0.0,-0.2504915,-1.0072815,0.2719485,3.9587593,8.639949,2.8929462,-1.0794763e+10,,976
25,0.0,0.7463138,-1.600637,0.68392426,1.37311,4.3301225,1.91252,-9.377066e+09,,975
26,0.0,0.016865302,-1.0330082,0.22951153,3.802958,-7.2209134,-0.97498137,-9.126061e+09,,974
27,0.0,0.07145272,-0.7243461,-0.12306327,5.9635615,8.943521,-7.040576,-8.3178614e+09,,973
28,0.0,-0.62492734,-0.8314029,0.16108721,5.141506,9.015881,-7.1435,-7.5987446e+09,,972
