,,phi_1,theta_1,theta_2,theta_3,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\theta_3$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,
0,0.0,0.17974906,-0.720562,-0.208411,-0.06537573,5.994043,-8.996868,7.7141395,-2.025161e+12,,1000
1,0.0,-0.9798311,-1.4978554,0.5526768,-0.01801098,1.6837544,-4.3567142,4.185867,-1.8985432e+12,,999
2,0.0,-0.6682153,-0.93751776,-0.847569,0.81636137,4.40318,-8.170615,-2.224346,-9.800166e+11,,998
3,0.0,-0.2853477,-0.40972805,-0.091185614,-0.49864113,8.826105,-3.6748984,4.207399,-6.6338115e+11,,997
4,0.0,-0.5494736,-1.6046715,0.5069126,0.1488807,1.3619144,3.4264522,4.3617015,-5.8729116e+11,,996
5,0.0,0.7654037,-1.6268065,1.3301909,-0.68151236,1.301774,9.011094,-2.5980656,-4.747771e+11,,995
6,0.0,0.27620822,-1.1622236,-0.471753,0.66090626,3.0847952,-6.4669027,0.19891462,-3.1915475e+11,,994
7,0.0,-0.8236718,-1.3310734,0.71807307,-0.316736,2.3008778,-5.0193605,2.034745,-3.1404484e+11,,993
8,0.0,-0.6544089,-1.0322596,-0.50964653,0.5919007,3.8074307,4.9001994,-6.907415,-1.8210016e+11,,992
9,0.0,-0.057487704,-1.5116341,1.1049886,-0.5341643,1.6391859,3.5643547,-0.43828902,-1.4603947e+11,,991
10,0.0,-0.52971864,-1.2039087,0.34159282,-0.06578029,2.8754396,4.8329005,-2.3426108,-1.26158995e+11,,990
11,0.0,-0.43470457,-0.31143892,0.14836255,-0.8179425,9.852954,-4.8157673,-1.3748157,-8.593997e+10,,989
12,0.0,-0.008245176,-0.96055853,0.42875808,-0.40348572,4.252837,6.5100436,-6.2561774,-5.4051594e+10,,988
13,0.0,-0.6276734,0.28011245,-0.36875468,-0.8955078,17.203499,-5.2894597,-3.9821303,-4.8645493e+10,,987
14,0.0,-0.10432922,-0.6768985,0.029051509,-0.30953273,6.3527784,5.7022676,5.2003374,-4.847599e+10,,986
15,0.0,-0.6630806,-1.549049,0.8003968,-0.03745956,1.5228032,-4.1513324,-0.86933184,-4.5847736e+10,,985
16,0.0,-0.7898831,-0.1735454,0.06657434,-0.83546937,11.393914,-6.7556415,3.1577277,-2.9619847e+10,,984
17,0.0,-0.575278,-0.72144276,-0.07914789,-0.05838086,5.9869385,9.178891,8.322823,-2.9145737e+10,,983
18,0.0,-0.72999555,-0.48108548,-0.28124428,-0.16468133,8.119346,-5.6791296,-6.3886185,-2.600132e+10,,982
19,0.0,-0.14249653,-0.14441754,-0.4528842,-0.37873515,11.733851,-4.6372623,-1.7310294,-2.5909211e+10,,981
20,0.0,-0.9038658,-0.85102415,-0.6024716,0.66126883,4.9992676,8.511032,-0.9070286,-2.4838676e+10,,980
21,0.0,-0.7470923,-0.41672325,0.26802975,-0.6556446,8.755366,15.468048,8.019156,-2.4568269e+10,,979
22,0.0,-0.1825371,-1.1744856,-0.061081868,0.4613948,3.0221043,8.698735,-4.425274,-2.3249977e+10,,978
23,0.0,-0.63800275,-0.91237396,0.113234885,-0.1811284,4.571286,-0.8736991,5.465356,-2.0683526e+10,,977
24,0.0,0.10822813,-1.1516538,0.042628847,0.20591964,3.1395807,4.5576634,8.230623,-1.795572e+10,,976
25,0.0,-0.33323586,-1.6811786,1.4193757,-0.4737562,1.1630206,3.0271583,1.8117115,-1.7523808e+10,,975
26,0.0,-0.71802455,-0.4275442,-0.11223032,-0.33851182,8.646557,-8.142275,5.1464267,-1.7209145e+10,,974
27,0.0,0.31689015,-0.8614863,-0.32924712,0.21556412,4.9244885,2.4577806,7.407226,-1.7058233e+10,,973
28,0.0,0.24297525,-0.6370515,0.6144606,-0.90519106,6.6914263,8.008583,1.4783759,-1.4474099e+10,,972
29,0.0,0.11091531,-1.299594,0.4960233,-0.1242168,2.4343505,-2.363709,-0.25323713,-1.4122834e+10,,971
30,0.0,0.70690864,-0.8560661,0.08441669,-0.19546834,4.963137,6.9183936,5.630852,-1.3816288e+10,,970
31,0.0,-0.302504,-1.6359053,1.2867668,-0.2974745,1.2776756,-3.9663973,4.4465384,-1.3395049e+10,,969
32,0.0,-0.10939126,-1.2451916,0.023762155,0.37049595,2.6784918,-3.9375134,4.119061,-1.2209124e+10,,968
33,0.0,-0.8537424,-0.7275027,-0.084172145,0.012216765,5.9382086,-6.668793,-4.948363,-1.083173e+10,,967
34,0.0,-0.69662684,-0.79175085,0.23573706,-0.25114337,5.4369116,-6.298759,5.4983163,-1.0420718e+10,,966
35,0.0,-0.16060211,-0.22574012,-0.3580158,-0.38631278,10.797203,-3.1564777,-1.3356185,-1.0153859e+10,,965
36,0.0,-0.506038,-0.040417068,-0.86080664,-0.048889723,12.986895,4.519971,0.14888223,-9.825672e+09,,964
37,0.0,-0.83500105,-0.5919148,0.60067385,-0.93745345,7.087967,2.778904,-3.4774425,-9.327581e+09,,963
38,0.0,-0.5280425,-0.9323588,-0.091977194,0.3039224,4.437327,-7.600673,-2.9851825,-8.927069e+09,,962
39,0.0,-0.75044656,-1.0489954,0.801404,-0.49538457,3.708311,-5.0037394,-4.9493823,-8.505489e+09,,961
40,0.0,0.33435914,-0.42832255,0.049749408,-0.5582422,8.638759,7.898736,-6.2159142,-8.446635e+09,,960
41,0.0,-0.44800043,-0.9165984,-0.41132328,0.46181393,4.5427475,3.7859788,7.91878,-8.204029e+09,,959
42,0.0,0.30723247,-1.1526159,0.44308963,-0.17744325,3.1345654,-4.570775,6.5842557,-7.9410575e+09,,958
43,0.0,0.12595224,-0.80955034,-0.5362015,0.38114768,5.3029876,-1.9003805,1.6627518,-7.4228347e+09,,957
44,0.0,-0.29262218,0.031125912,-0.029422643,-0.86525154,13.883237,12.692234,2.1934268,-7.153965e+09,,956
45,0.0,-0.18505067,-0.7095168,0.8079339,-0.8507066,6.0835657,10.447433,4.610147,-6.734267e+09,,955
46,0.0,0.25626758,-0.67764866,-0.67576605,0.45677632,6.346506,7.0300117,-1.1462071,-6.3444746e+09,,954
47,0.0,-0.22584158,-0.9920903,0.14229082,0.08208505,4.0527954,5.9823294,1.3875413,-6.1557125e+09,,953
48,0.0,-0.14564416,-0.684197,-0.26127273,-0.0069898237,6.291914,-1.8876994,4.766293,-4.874632e+09,,952
49,0.0,0.89568204,-1.1314013,0.6541181,-0.4829878,3.246499,-8.88347,1.2883705,-4.67956e+09,,951
50,0.0,-0.86363417,-0.26471555,-0.72116643,0.09241098,10.362219,4.093247,-7.4589014,-4.6657705e+09,,1000
51,0.0,-0.52092105,-1.1736094,0.99307245,-0.54650414,3.0265532,3.6085773,4.283637,-4.4550236e+09,,999
52,0.0,-0.49294898,-0.7411878,-0.706396,0.82392037,5.8290815,-9.328714,0.91475236,-4.1310866e+09,,998
53,0.0,0.27253765,-1.3758401,0.9994502,-0.457704,2.120636,3.0373182,4.2101307,-3.9730977e+09,,997
54,0.0,-0.29188183,-0.101858385,-0.2071408,-0.6697828,12.239293,-1.5355585,-4.588473,-3.8221601e+09,,996
55,0.0,0.6733412,-1.0502981,0.0035425143,0.107437074,3.7006717,-4.2380285,6.046931,-3.6834534e+09,,995
56,0.0,-0.30187565,-0.4682087,-0.6955524,0.28802103,8.244435,-4.7515516,0.81922024,-3.6214917e+09,,994
57,0.0,-0.5386903,-1.0736262,0.51244587,-0.34172758,3.5657287,-1.3356014,-8.315985,-3.434585e+09,,993
58,0.0,0.28699306,-0.9594963,-0.5466631,0.5759454,4.2596903,-2.357745,-1.0231476,-3.2161682e+09,,992
59,0.0,-0.1463554,-0.683496,0.58724535,-0.8141127,6.297745,-2.7780786,0.7616543,-3.0087496e+09,,991
60,0.0,-0.39907205,-0.94563144,-0.23842329,0.4513248,4.349835,4.47862,14.153023,-2.9558543e+09,,990
61,0.0,-0.3461802,-0.5785534,0.5971049,-0.76226604,7.2079744,-7.3312435,-9.024462,-2.846425e+09,,989
62,0.0,0.61185837,-0.9677613,0.9292706,-0.9105089,4.2065625,3.0479155,8.462271,-2.7723384e+09,,988
63,0.0,-0.82658577,-0.69083285,-0.767715,0.7639458,6.23689,-5.276137,2.452557,-2.6196063e+09,,987
64,0.0,-0.6626893,-0.98658,-0.21724851,0.6237442,4.0872793,-5.0603843,8.497924,-2.4706143e+09,,986
