,,theta_1,theta_2,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,
0,0.0,-0.21835434,-0.7783975,5.538793,-2.9842093,-4.7469727e+11,,1000
1,0.0,-0.40633023,-0.5699923,7.2854967,12.223328,-4.041592e+11,,999
2,0.0,-0.14456007,-0.8205385,5.221385,7.895034,-1.5927596e+11,,998
3,0.0,-0.17841923,-0.81496924,5.2626424,2.0949073,-1.36161305e+11,,997
4,0.0,-0.40194485,-0.5743601,7.2458835,6.0754247,-1.0073837e+11,,996
5,0.0,-0.122051984,-0.85605365,4.963227,-3.0011551,-5.726915e+10,,995
6,0.0,-0.29484603,-0.6480298,6.597054,7.4526496,-3.6160135e+10,,994
7,0.0,-0.20063722,-0.745495,5.794997,5.30386,-2.6347545e+10,,993
8,0.0,-1.3956517,0.4280909,19.310183,8.551901,-1.794728e+10,,992
9,0.0,-0.3461802,-0.5785534,7.2079744,-7.3312435,-1.7373268e+10,,991
10,0.0,-1.9642755,0.98270583,27.909359,6.2177806,-1.4932686e+10,,990
11,0.0,-0.10813963,-0.7832358,5.5017395,7.286821,-1.4377932e+10,,989
12,0.0,-0.08225071,-0.88727796,4.7432966,1.7922401,-1.258087e+10,,988
13,0.0,-0.33978418,-0.464172,8.283873,17.589243,-1.1713803e+10,,987
14,0.0,-0.99820614,0.028436294,13.849049,4.5423403,-1.0754265e+10,,986
15,0.0,-0.68395007,-0.26424706,10.367393,-5.6525126,-1.0408837e+10,,985
16,0.0,-0.13672243,-0.71092534,6.0721035,-8.300707,-7.932417e+09,,984
17,0.0,-1.5916817,0.61244506,22.055744,3.93098,-7.068537e+09,,983
18,0.0,-0.6622688,-0.28333768,10.15764,-4.6316743,-6.6227676e+09,,982
19,0.0,0.06853543,-0.8494166,5.0108232,-8.141212,-5.471059e+09,,981
20,0.0,-0.021135671,-0.7793858,5.5312114,-8.1805525,-5.4608753e+09,,980
21,0.0,-0.5235872,-0.45708597,8.353358,-1.2827948,-4.9114737e+09,,979
22,0.0,-0.9397489,-0.008097257,13.388441,-4.9505653,-4.810719e+09,,978
23,0.0,-0.5167742,-0.4382766,8.539384,2.695871,-4.508824e+09,,977
24,0.0,-0.3910668,-0.55233127,7.446964,-2.734058,-3.9102244e+09,,976
25,0.0,-0.06278389,-0.67094064,6.40273,10.516045,-3.815306e+09,,975
26,0.0,-0.28292373,-0.61457336,6.887191,-4.405186,-3.7747873e+09,,974
27,0.0,-1.1322376,0.1779561,15.80522,-4.351347,-3.487429e+09,,973
28,0.0,-1.4689258,0.5117472,20.540375,5.1388397,-3.361081e+09,,972
29,0.0,0.002662206,-0.8318002,5.1386,5.0197053,-3.226351e+09,,971
30,0.0,-0.9330098,0.0017448467,13.511833,5.2638226,-3.1278894e+09,,970
31,0.0,-1.1362082,0.2509505,16.799477,-10.382174,-2.9065052e+09,,969
32,0.0,-0.42123687,-0.50905085,7.8514266,-2.9291759,-2.7181699e+09,,968
33,0.0,-0.49713323,-0.33817896,9.567572,8.095954,-2.630096e+09,,967
34,0.0,-0.44146922,-0.390544,9.021719,-7.746923,-2.6017055e+09,,966
35,0.0,-1.0487825,0.18146056,15.852384,-10.695306,-2.5940938e+09,,965
36,0.0,-0.37540492,-0.6028328,6.9907913,-0.83065575,-2.334425e+09,,964
37,0.0,-0.62243205,-0.26718995,10.334913,-5.1533475,-2.0089446e+09,,963
38,0.0,-1.0152135,0.11389411,14.953465,-6.541897,-1.9521121e+09,,962
39,0.0,0.07145272,-0.7243461,5.9635615,8.943521,-1.8806687e+09,,961
40,0.0,-0.4887272,-0.36143354,9.323028,6.031853,-1.8510232e+09,,960
41,0.0,-0.028274126,-0.7814924,5.5150723,4.3309116,-1.6901332e+09,,959
42,0.0,-1.5034219,0.5381762,20.934542,-2.9047983,-1.5590152e+09,,958
43,0.0,-0.24431749,-0.3198502,9.762705,16.657623,-1.5547803e+09,,957
44,0.0,0.16255765,-0.7649301,5.6427712,8.519178,-1.4551396e+09,,956
45,0.0,-1.439376,0.49265054,20.257187,-4.038652,-1.3882861e+09,,955
46,0.0,-1.150903,0.2025134,16.136948,-3.125972,-1.3672417e+09,,954
47,0.0,-0.24326254,-0.42067173,8.715573,10.411906,-1.2764297e+09,,953
48,0.0,-0.057436224,-0.7082932,6.093535,4.9843407,-1.2181137e+09,,952
49,0.0,-1.3236319,0.4042941,18.965261,5.281953,-1.1908009e+09,,951
50,0.0,-0.8792726,0.075659126,14.4547415,9.382134,-1.1015387e+09,,1000
51,0.0,-0.24895072,-0.5817034,7.179575,4.047593,-1.0993276e+09,,999
52,0.0,0.17974906,-0.720562,5.994043,-8.996868,-1.0811305e+09,,998
53,0.0,-0.38539115,-0.4147695,8.775092,5.7169414,-1.06277254e+09,,997
54,0.0,-0.17732334,-0.5884684,7.118807,5.3843627,-1.04396365e+09,,996
55,0.0,-0.38556468,-0.38246495,9.104801,-6.664005,-9.9948096e+08,,995
56,0.0,-0.59604114,-0.2889193,10.096735,3.601151,-9.4715e+08,,994
57,0.0,-1.9011705,0.99446887,28.101696,7.7304635,-8.9120474e+08,,993
58,0.0,-1.2014169,0.34308356,18.088692,7.565844,-8.7925216e+08,,992
59,0.0,-0.677734,-0.044740632,12.933607,-10.534941,-8.7158995e+08,,991
60,0.0,-0.3331013,-0.46638727,8.262217,-4.631289,-7.808234e+08,,990
61,0.0,-0.29257414,-0.5200701,7.7472715,-3.9371529,-7.3302163e+08,,989
62,0.0,-0.72122455,-0.09403141,12.641226,-6.2983694,-7.303097e+08,-1.1908009e+09,988
