,,phi_1,phi_2,sigma,mu,init_y_1,init_y_2,logL,logL_birth,nlive
labels,,$\phi_1$,$\phi_2$,$\sigma$,$\mu$,$y_1$,$y_2$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
0,0.0,-0.46281728,-0.9658663,4.218703,-139.05453,24.461409,-9.028733,-1.7771136e+06,,1000
1,0.0,-1.4228201,-0.8848532,4.7601404,-84.45726,-35.770668,17.533323,-1.0804571e+06,,999
2,0.0,-0.7266379,-0.7624044,5.6624103,-134.57472,70.433205,-117.96093,-977389.06,,998
3,0.0,-0.71153605,-0.8924457,4.707531,-94.37696,27.755394,-70.2455,-828417.94,,997
4,0.0,-1.0102712,-0.84384227,5.0510283,116.20037,-55.18039,67.05241,-734174.5,,996
5,0.0,-0.37010407,-0.88879466,4.7327805,-98.78553,62.12866,61.418797,-669309.25,,995
6,0.0,-0.5660256,-0.94365525,4.3627872,-63.928925,-54.113567,-13.760756,-467203.12,,994
7,0.0,-0.14365034,-0.74586487,5.792077,151.9788,-91.63693,-33.52535,-449916.44,,993
8,0.0,-0.92816657,-0.85947007,4.938843,-61.858856,24.013933,63.191956,-428324.8,,992
9,0.0,0.2077067,-0.9252468,4.4846926,-97.25195,18.557941,63.95486,-419536.72,,991
10,0.0,-1.6806607,-0.80432606,5.3420725,-46.046043,-29.114618,-15.670011,-360676.44,,990
11,0.0,-0.6460666,-0.8864432,4.74909,-58.4929,18.37678,50.257652,-349759.56,,989
12,0.0,-1.3381613,-0.77632666,5.554701,85.03813,-21.332314,-66.26254,-346857.75,,988
13,0.0,-0.45790246,-0.74047375,5.8347425,118.86009,63.422184,103.84065,-343309.1,,987
14,0.0,-0.048437074,-0.898828,4.6636057,-76.69138,-14.641714,138.98581,-333942.22,,986
15,0.0,0.19889767,-0.8167377,5.2495184,-106.56371,23.777096,-30.096712,-318250.25,,985
16,0.0,-1.5965762,-0.7184879,6.0107903,82.95067,134.37207,-22.644226,-313747.97,,984
17,0.0,-0.7620583,-0.8124295,5.281527,91.66832,-13.285887,7.9207697,-313695.84,,983
18,0.0,-1.7572728,-0.7873503,5.470352,-41.42305,49.912895,-55.33324,-305326.2,,982
19,0.0,-1.47308,-0.9196262,4.522366,-32.87051,23.250435,53.138912,-295415.5,,981
