,,phi_1,phi_2,phi_3,theta_1,theta_2,theta_3,theta_4,sigma,mu,init_y_1,init_y_2,init_y_3,logL,logL_birth,nlive
labels,,$\phi_1$,$\phi_2$,$\phi_3$,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\sigma$,$\mu$,$y_1$,$y_2$,$y_3$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,,
0,0.0,-0.38953778,-0.7402815,-0.08392968,-0.6115657,-0.77911127,0.2950699,0.09941911,4.483991,-46.42415,-17.158274,-93.7557,-40.529625,-3.289626e+09,,1000
1,0.0,-0.9319669,-0.6916393,-0.10638472,-0.89793175,0.14313193,-0.27580023,0.048969794,4.9027376,-4.711942,-81.55435,53.71986,-71.123505,-1.72071e+08,,999
2,0.0,-1.5946044,-1.3961619,-0.50866,-0.56438774,0.35911945,-0.010687497,-0.42420673,1.0151796,-22.90901,-23.216557,-59.001076,-24.810535,-9.12276e+07,,998
3,0.0,-1.2836748,-1.3250993,-0.34766772,0.06052946,-0.047338553,-0.15539578,-0.41737348,1.2247663,-69.89029,-82.33894,21.3173,2.0101244,-8.869205e+07,,997
4,0.0,-0.3328465,-0.619842,0.06468972,-0.119481765,-0.89890045,-0.21417141,0.23657286,5.566429,73.587585,-24.30768,-18.853205,-80.26478,-7.0840056e+07,,996
5,0.0,-0.23384674,-0.39038655,-0.8269145,0.016267385,0.15658338,-0.4698828,-0.67058194,8.052785,-66.64037,38.023872,-9.477645,-5.887722,-5.7241332e+07,,995
6,0.0,-0.6409132,-0.51821834,-0.56541324,0.3231326,-0.034573603,-0.61698455,-0.6643161,6.5992527,-9.652453,-30.362844,-18.826815,12.498237,-5.4225508e+07,,994
7,0.0,-0.7348782,-1.0071009,-0.65328074,-0.41125962,-0.9692604,0.4340156,0.18306316,2.6154482,-33.294323,39.260735,-47.89292,-1.3684185,-2.4907568e+07,,993
8,0.0,-1.0287216,-1.0034882,-0.040485628,-0.45100743,0.11081129,0.21552964,-0.495383,2.6361303,-71.92152,-20.942686,-88.958145,-70.54963,-1.6236351e+07,,992
9,0.0,-1.0399116,-1.1678393,-0.7017037,-0.43984246,-0.26865792,-0.18204874,0.537908,1.8117602,-22.794888,-23.233665,-58.215366,-40.324516,-1.007643e+07,,991
10,0.0,-1.0527154,-0.8698272,-0.78724027,-0.86819965,-0.09517202,0.42333886,-0.30347613,3.4883463,9.743685,84.19847,60.23726,9.342214,-8.2172175e+06,,990
11,0.0,-1.0318869,-0.7668122,0.12792973,-0.4156068,-0.9587191,-0.19252662,0.6362046,4.266027,22.103662,18.230053,8.71878,-14.240013,-7.680028e+06,,989
