,,alpha_ar_1,alpha_ar_2,alpha_ar_3,alpha_ar_4,alpha_ar_5,alpha_ma_1,alpha_ma_2,alpha_ma_3,alpha_ma_4,sigma,mu,init_y_1,init_y_2,init_y_3,init_y_4,init_y_5,logL,logL_birth,nlive
labels,,$\alpha^{AR}_1$,$\alpha^{AR}_2$,$\alpha^{AR}_3$,$\alpha^{AR}_4$,$\alpha^{AR}_5$,$\alpha^{MA}_1$,$\alpha^{MA}_2$,$\alpha^{MA}_3$,$\alpha^{MA}_4$,$\sigma$,$\mu$,$y_1$,$y_2$,$y_3$,$y_4$,$y_5$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,,,,,,
0,0.0,0.3444836,0.28194618,0.225497,-0.20269108,-0.8419001,0.15204382,0.96775794,-0.5045397,0.28031564,0.05623012,-63.593014,-31.137926,0.8188039,3.556624,-50.168884,44.681644,-2.6360742e+11,,1000
1,0.0,-0.76325893,-0.103782415,-0.9893613,-0.7016058,-0.14784098,-0.24623609,0.13914871,0.82873464,0.4934981,0.2646674,-45.858143,41.110527,46.35805,29.40044,-70.417595,129.33076,-6.982858e+10,,999
2,0.0,-0.8491125,-0.24215198,-0.57041836,-0.8957932,-0.5600064,0.97274613,0.78867054,-0.23717833,0.24047256,2.3488972,-29.388216,-37.645653,-28.907944,9.673787,6.450301,-98.81942,-5.979498e+10,,998
3,0.0,-0.9002373,-0.78161263,-0.9754908,0.1737566,0.40661263,0.8733759,0.94464135,0.86599064,-0.98868084,5.212874,22.862036,6.8787656,-27.787203,-7.1992593,-6.601702,-47.80653,-8.4037924e+09,,997
4,0.0,-0.82272744,-0.12750363,-0.24634314,0.2692697,-0.9509771,0.7681658,0.06705427,-0.14931393,0.99093604,1.6501174,-17.042227,65.04488,30.247503,36.99776,-15.243811,23.871962,-8.3976786e+09,,996
5,0.0,-0.7586243,-0.9480493,-0.31377602,0.6978967,0.019103289,0.868665,-0.76530814,-0.36153245,-0.4539578,0.087151274,-56.987232,31.550745,-18.077068,-29.855967,-23.312769,24.142515,-7.8621327e+09,,995
6,0.0,-0.59998894,-0.14971805,-0.97385573,-0.38895822,-0.5130577,0.8250613,-0.093029976,-0.010266066,-0.46932578,0.30043864,112.8768,-50.056595,-26.153915,-52.231354,-41.670475,49.245804,-5.4411116e+09,,994
7,0.0,-0.0020291805,-0.9563105,-0.31778407,-0.3549409,-0.7657349,0.61763096,-0.5832436,0.8445802,-0.3068812,0.47622994,-11.792345,-64.37314,23.724915,63.00446,-0.38044912,-86.095276,-4.616962e+09,,993
8,0.0,0.42709565,-0.6764152,-0.14347887,0.57324314,-0.4513657,-0.9212961,0.6820631,-0.3612585,0.06750417,0.0069919736,67.666885,-20.297657,15.253242,33.2295,-54.406635,-35.15348,-3.2235502e+09,,992
9,0.0,0.21174622,0.870754,0.0106470585,0.8052795,0.04566145,0.7889495,-0.27790546,0.40166378,0.99401116,0.0463753,-26.413239,49.25976,-80.56997,-50.66988,17.991564,50.396187,-2.4264494e+09,,991
10,0.0,-0.87879276,-0.7140243,0.6412163,0.27932787,-0.91086507,-0.9735966,0.3932004,-0.20111394,0.8333528,0.22585192,-64.11932,44.329258,-30.538664,-55.640053,-66.32088,-27.269957,-1.1808955e+09,,990
11,0.0,0.5556896,-0.14649773,-0.25951862,-0.19929719,-0.10526919,0.9474876,-0.7829871,0.48456287,-0.106619835,0.6900045,-51.602417,-5.8813286,-2.4710827,7.545842,-18.579098,-85.20267,-6.252432e+08,,989
12,0.0,0.82207036,-0.42939186,0.7233708,0.37289643,-0.6421237,-0.857883,-0.58118844,-0.9990041,-0.6841507,0.4720813,-21.26676,53.788376,-42.011528,-97.38155,68.38205,-68.54799,-5.392654e+08,,988
13,0.0,0.6607244,0.45420527,0.012797356,-0.05066538,-0.35631633,0.80007863,0.98317885,-0.93069196,0.65853906,6.225726,-111.11024,39.449425,-48.689796,116.96334,22.167353,-7.666645,-5.0618166e+08,,987
14,0.0,0.29159188,-0.6080792,0.2548864,0.6364796,-0.18904376,0.907418,0.8286321,-0.61303616,0.696579,0.57508695,3.4526806,32.534893,92.47368,-23.604918,-82.1252,-125.07056,-4.6112048e+08,,986
15,0.0,-0.016299486,-0.3965187,-0.48922038,0.096241236,-0.77317953,0.66822815,0.8995557,-0.051739693,0.3933189,7.062731,-88.10084,-31.122091,-27.117315,41.70147,33.239487,-9.890646,-4.604375e+08,,985
