,,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,theta_1,sigma,mu,init_y_1,init_y_2,init_y_3,init_y_4,init_y_5,init_y_6,init_y_7,init_y_8,init_y_9,logL,logL_birth,nlive
labels,,$\phi_1$,$\phi_2$,$\phi_3$,$\phi_4$,$\phi_5$,$\phi_6$,$\phi_7$,$\phi_8$,$\phi_9$,$\theta_1$,$\sigma$,$\mu$,$y_1$,$y_2$,$y_3$,$y_4$,$y_5$,$y_6$,$y_7$,$y_8$,$y_9$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.05748428,-0.9952575,-0.13184175,-0.16066538,-0.42937857,0.58882076,-0.2607589,0.14080767,-0.13760078,-0.98048943,2.6836987,-119.13956,-24.820337,-14.577988,-3.8014238,-64.17973,-48.497574,63.01226,37.766357,24.30498,-3.4970193,-4.7449876e+09,,1000
1,0.0,-0.09016051,-0.8909934,0.16332954,-0.32003596,-0.2773343,-0.25967413,-0.62271607,0.023504036,-0.3794067,-0.9828758,3.3418279,-20.53586,59.380512,24.175926,-9.604006,25.77829,-4.142534,-46.34238,60.515625,-18.125467,77.08065,-1.448919e+09,,999
2,0.0,-1.1511103,-1.4427384,-0.69575554,-0.45989546,-0.14284568,-0.14222002,0.030925382,0.22531317,0.11155231,-0.6298252,0.89437604,-45.552437,34.54744,-8.558444,94.97813,-0.9422703,47.240826,-0.83916336,100.818085,16.973057,-54.068882,-2.1765658e+08,,998
3,0.0,0.116830505,-1.0927132,0.4849548,-0.5977677,0.44833645,-0.32029158,0.3935211,-0.23956147,0.16901648,-0.93422747,2.1597347,-46.821342,-43.452995,-63.022953,-52.46032,16.176922,-0.8661949,34.533863,-78.52794,58.25672,116.08789,-1.3132319e+08,,997
4,0.0,-0.1169884,-0.24657162,0.14104876,0.072675444,-0.46652514,-0.17031363,-0.05369372,0.25540328,0.2937088,-0.9948048,9.887667,-15.4435835,92.1048,-61.63929,0.26466396,45.087215,-50.09328,12.520589,51.326664,1.1909174,3.9643564,-6.9895e+07,,996
5,0.0,-0.84842986,-0.18412451,0.377856,-0.08155928,-0.4365143,-0.6716522,-0.49451715,0.07186247,0.16187407,-0.9705141,10.747462,-25.593174,86.28953,3.4287636,24.922894,64.53451,-46.32011,34.07881,55.50831,15.515801,-42.654564,-4.8477036e+07,,995
6,0.0,-0.52495384,-0.34345922,-0.4100531,-0.39887825,-0.15570833,-0.22604215,-0.71335405,-0.24913783,-0.21656513,-0.88115275,8.628732,-82.17549,56.517887,46.595,-58.314533,6.482287,49.225086,59.69548,21.922441,46.5072,-3.0880878,-3.3509702e+07,,994
7,0.0,-0.12179299,-0.93298864,-0.6655895,-1.1578169,-0.47335297,-0.7116523,-0.39745453,-0.33769548,-0.16634136,-0.37427434,3.0641797,-87.97743,42.682682,105.34892,-30.81969,77.82208,66.978714,-6.038226,-9.7423525,42.356552,55.800976,-2.2013472e+07,,993
8,0.0,0.026758885,-0.342558,0.35726473,0.07280027,-0.1921991,0.27361333,-0.20112367,-0.043020863,0.0150621,-0.9825398,8.640012,-24.81121,10.210856,-8.624281,-87.2543,28.348299,-21.654202,59.667576,-123.2972,41.44298,-34.993164,-1.9328886e+07,,992
9,0.0,-0.42625904,-1.2343736,-0.8004922,-0.39450547,-0.626843,0.30360007,0.03547844,0.4721937,0.11418619,-0.40664512,1.541267,-41.16373,4.58907,68.30527,-66.170654,-20.89355,-30.433678,19.97798,-39.829098,-23.45319,13.401781,-1.602083e+07,,991
10,0.0,-0.18792129,-0.1969025,0.045280106,-0.015395276,0.55152655,0.05195526,0.4533255,0.21614842,-0.086784855,-0.995399,10.56852,-142.78491,94.00996,15.795499,-44.916172,3.9596205,-28.62319,-15.715228,26.748106,-67.8945,-53.26203,-1.2318838e+07,,990
11,0.0,-0.19005547,-0.76230365,-0.2568384,-0.2001976,0.06493219,-0.12994428,-0.044159,-0.064022884,0.12221731,-0.66703415,4.3025513,-126.49269,102.83307,21.791096,22.09747,84.787346,19.834751,74.32158,-72.505516,-77.54205,60.73066,-1.1063274e+07,,989
